,imdb_title_id,title,year,release_month,release_weekday,duration,country1,language,production_company,IMDb rating,votes,director,f-dir,movie_count,writer,f-wr,Genre1,Genre2,Main Actor1,Main Actor2,Main Actor3,f-ac,usa_gross_income,worlwide_gross_income,budget,f-rated,YearGp
82,tt0108071,The Secret Garden,1993,8,Friday,101,UK,English,Warner Bros.,7.3,35877,Agnieszka Holland,1.0,5,Agnieszka Holland,1.0,Drama,Family,Kate Maberly,Heydon Prowse,Andrew Knott,0.33,55848274.03748789,55848274.03748789,$ 18000000,2.33,90s
83,tt0107822,The Piano,1993,5,Tuesday,121,New Zealand,English,CiBy 2000,7.6,77465,Jane Campion,1.0,7,Jane Campion,1.0,Drama,Music,Holly Hunter,Harvey Keitel,Sam Neill,0.33,71925916.04993771,71975528.95443599,$ 7000000,2.33,90s
84,tt0107566,Mi vida loca,1993,7,Friday,92,USA,English,Channel Four Films,6.5,1928,Allison Anders,1.0,4,Allison Anders,1.0,Crime,Drama,Angel Aviles,Seidy Lopez,Jacob Vargas,0.67,5852017.611370242,5852017.611370242,,2.67,90s
85,tt0108160,Sleepless in Seattle,1993,10,Friday,105,USA,English,TriStar Pictures,6.8,156290,Nora Ephron,1.0,8,Nora Ephron,1.0,Comedy,Drama,Tom Hanks,Ross Malinger,Rita Wilson,0.33,227123515.51429063,408235692.04716265,$ 21000000,2.33,90s
86,tt0106500,CB4,1993,3,Friday,89,USA,English,Imagine Entertainment,6.3,8629,Tamra Davis,1.0,5,Tamra Davis,1.0,Comedy,Music,Chris Rock,Allen Payne,Deezer D,0.0,32156645.24538408,32156645.24538408,$ 6000000,2.0,90s
87,tt0106350,The Ballad of Little Jo,1993,8,Friday,121,USA,English,Joco,6.7,1387,Maggie Greenwald,1.0,3,Maggie Greenwald,1.0,Drama,Romance,Suzy Amis,Bo Hopkins,Ian McKellen,0.33,972719.2027750864,972719.2027750864,,2.33,90s
88,tt0106408,Bhaji on the Beach,1993,1,Friday,101,UK,English,Channel Four Films,6.3,1013,Gurinder Chadha,1.0,5,Gurinder Chadha,1.0,Comedy,Drama,Kim Vithana,Jimmi Harkishin,Sarita Khajuria,0.67,1315787.9596816609,1315787.9596816609,,2.67,90s
89,tt0107443,Lost in Yonkers,1993,5,Friday,114,USA,English,Columbia Pictures,6.7,2582,Martha Coolidge,1.0,10,Martha Coolidge,1.0,Comedy,Drama,Richard Dreyfuss,Mercedes Ruehl,Irene Worth,0.67,16630512.458678199,16630512.458678199,$ 15000000,2.67,90s
90,tt0107009,Ghost in the Machine,1993,12,Wednesday,95,USA,English,Twentieth Century Fox,4.6,3183,Rachel Talalay,1.0,3,Rachel Talalay,1.0,Horror,Sci-Fi,Karen Allen,Chris Mulkey,Ted Marcoux,0.33,9111058.85950865,9111058.85950865,$ 12000000,2.33,90s
91,tt0107152,Household Saints,1993,9,Wednesday,124,USA,English,Jones Entertainment,7.0,817,Nancy Savoca,1.0,5,Nancy Savoca,1.0,Drama,,Tracey Ullman,Vincent D'Onofrio,Lili Taylor,0.67,1275997.3356262976,1275997.3356262976,,2.67,90s
92,tt0110712,Of Love and Shadows,1994,4,Friday,103,USA,English,Aleph Producciones S.A.,5.1,1891,Betty Kaplan,1.0,1,Isabel Allende,1.0,Drama,Romance,Antonio Banderas,Jennifer Connelly,Stefania Sandrelli,0.67,34420.815182186234,2062772.5681646424,,2.67,90s
93,tt0110889,Priest,1994,2,Friday,105,UK,English,British Broadcasting Corporation (BBC),7.0,9566,Antonia Bird,1.0,3,Antonia Bird,1.0,Drama,Romance,Linus Roache,Tom Wilkinson,Robert Carlyle,0.0,7275077.667307693,7275077.667307693,,2.0,90s
94,tt0110971,Renaissance Man,1994,6,Friday,128,USA,English,Cinergi Pictures Entertainment,6.2,16458,Penny Marshall,1.0,7,Penny Marshall,1.0,Comedy,Drama,Danny DeVito,Gregory Hines,James Remar,0.0,42493070.89584346,42493070.89584346,$ 40000000,2.0,90s
95,tt0110374,Loaded,1994,10,Friday,108,New Zealand,English,British Film Institute (BFI),4.6,528,Anna Campion,1.0,1,Anna Campion,1.0,Drama,Thriller,Oliver Milburn,Dearbhla Molloy,Danny Cunningham,0.33,77243.38286774629,77243.38286774629,,2.33,90s
